user,ILD,model
196,0.7,CF (KNNBasic)
186,0.7,CF (KNNBasic)
22,0.6888888888888889,CF (KNNBasic)
244,0.7648148148148148,CF (KNNBasic)
166,0.7,CF (KNNBasic)
298,0.7,CF (KNNBasic)
115,0.7,CF (KNNBasic)
253,0.7,CF (KNNBasic)
305,0.7,CF (KNNBasic)
6,0.7,CF (KNNBasic)
62,0.7,CF (KNNBasic)
286,0.7,CF (KNNBasic)
200,0.7,CF (KNNBasic)
210,0.7,CF (KNNBasic)
224,0.7,CF (KNNBasic)
303,0.7,CF (KNNBasic)
122,0.7,CF (KNNBasic)
194,0.7,CF (KNNBasic)
291,0.7888888888888889,CF (KNNBasic)
234,0.7,CF (KNNBasic)
119,0.7,CF (KNNBasic)
167,0.7,CF (KNNBasic)
299,0.7,CF (KNNBasic)
308,0.7,CF (KNNBasic)
95,0.7,CF (KNNBasic)
38,0.7,CF (KNNBasic)
102,0.7,CF (KNNBasic)
63,0.7,CF (KNNBasic)
160,0.7,CF (KNNBasic)
50,0.7,CF (KNNBasic)
301,0.7,CF (KNNBasic)
225,0.7,CF (KNNBasic)
290,0.7888888888888889,CF (KNNBasic)
97,0.7555555555555555,CF (KNNBasic)
157,0.7,CF (KNNBasic)
181,0.7,CF (KNNBasic)
278,0.7,CF (KNNBasic)
276,0.7,CF (KNNBasic)
7,0.7,CF (KNNBasic)
10,0.7,CF (KNNBasic)
284,0.7,CF (KNNBasic)
201,0.7,CF (KNNBasic)
287,0.7,CF (KNNBasic)
246,0.7,CF (KNNBasic)
242,0.7111111111111111,CF (KNNBasic)
249,0.7,CF (KNNBasic)
99,0.7,CF (KNNBasic)
178,0.7,CF (KNNBasic)
251,0.7,CF (KNNBasic)
81,0.7,CF (KNNBasic)
260,0.7,CF (KNNBasic)
25,0.7,CF (KNNBasic)
59,0.7,CF (KNNBasic)
72,0.7444444444444445,CF (KNNBasic)
87,0.7648148148148148,CF (KNNBasic)
42,0.7111111111111111,CF (KNNBasic)
292,0.7,CF (KNNBasic)
20,0.7888888888888889,CF (KNNBasic)
13,0.6,CF (KNNBasic)
138,0.7555555555555555,CF (KNNBasic)
60,0.7,CF (KNNBasic)
57,0.7111111111111111,CF (KNNBasic)
223,0.7,CF (KNNBasic)
189,0.7,CF (KNNBasic)
243,0.7,CF (KNNBasic)
92,0.7,CF (KNNBasic)
241,0.7,CF (KNNBasic)
254,0.7,CF (KNNBasic)
293,0.7,CF (KNNBasic)
127,0.7,CF (KNNBasic)
222,0.7,CF (KNNBasic)
267,0.7111111111111111,CF (KNNBasic)
11,0.7,CF (KNNBasic)
8,0.7,CF (KNNBasic)
162,0.7888888888888889,CF (KNNBasic)
279,0.5777777777777777,CF (KNNBasic)
145,0.7,CF (KNNBasic)
28,0.7,CF (KNNBasic)
135,0.7,CF (KNNBasic)
32,0.7,CF (KNNBasic)
90,0.6,CF (KNNBasic)
216,0.7,CF (KNNBasic)
250,0.7,CF (KNNBasic)
271,0.7,CF (KNNBasic)
265,0.7,CF (KNNBasic)
198,0.7,CF (KNNBasic)
168,0.7,CF (KNNBasic)
110,0.7,CF (KNNBasic)
58,0.7,CF (KNNBasic)
237,0.7,CF (KNNBasic)
94,0.7,CF (KNNBasic)
128,0.7,CF (KNNBasic)
44,0.7,CF (KNNBasic)
264,0.7,CF (KNNBasic)
41,0.7,CF (KNNBasic)
82,0.7,CF (KNNBasic)
262,0.7,CF (KNNBasic)
174,0.7,CF (KNNBasic)
43,0.7,CF (KNNBasic)
84,0.7,CF (KNNBasic)
269,0.7,CF (KNNBasic)
259,0.7,CF (KNNBasic)
85,0.7,CF (KNNBasic)
213,0.7,CF (KNNBasic)
121,0.7,CF (KNNBasic)
49,0.7,CF (KNNBasic)
